ID	Shop	Category	Comments		Category	Explain on Primairy Category	Explain on Secondary Category
1262	World Champions	Rare Shop					
1263	Ancient CryptKeeper	Badge Shop					
1264	Arcane CryptKeeper	Badge Shop					
1265	Abyssal CryptKeeper	Badge Shop					
1266	CryptKeeper Vault	Badge Shop					
1267		No Shop					
1268	Black Hole War Merge	Merge Shop					
1269	4D Pyramid Merge	Merge Shop					
1270	Death Pit Brawl Rep	Reputation Shop	Merge Shop				
1271	Black Hole War Chest	Normal Shop					
1272	Golden Falcon Tier 1	Badge Shop					
1273	Maze Merge	Merge Shop					
1274	Golden Falcon Tier 2	Badge Shop					
1275	4D Pyramid Rep	Reputation Shop					
1276	4D Pyramid House	Merge Shop	Reputation Shop, House Shop				
1277	Black Dragon's Chest	Item Shop					
1278	Sanguine Merge	Merge Shop					
1279	AQ3D Kickstarter	Badge shop					
1280	Radioactive BioBeast	Badge shop					
1281	Pockey-Mogs Shop	Normal Shop					
1282	Dracolich War Merge	Merge Shop					
1283	Slayer War Chest	Merge Shop					
1284	Defender War Chest	Merge Shop					
1285	Elemental Dracomancer Class	Normal Shop					
1286	Dragonslayer General Class	Merge Shop					
1287	Draco War Rares	Rare Shop					
1288	Shadowstrike Tier 1	Badge Shop					
1289	Shadowstrike Tier 2	Badge Shop					
1290	Goodbye Goodluck G	Normal Shop					
1291	Glurp's Merge	Merge Shop					
1292	Royal Raider	Badge Shop					
1293	Dark Seas Ruler	Badge Shop					
1294	Cursed Legion Merge	Merge Shop					
1295	8th Upholder	Badge Shop					
1296	8th Upholder Merge	Merge Shop					
1297	Shadow Sorcery Tier 1	Badge Shop					
1298	Shadow Sorcery Tier 2	Badge Shop					
1299	Mystcroft Forest	AC Shop					
1300		No Shop					
1301		No Shop					
1302	8th Birthday Rares	Rare Shop					
1303	ArchPaladin Shop	Normal Shop					
1304	Twilly's Potion Shop	Normal Shop					
1305	DoomFire Guard	Badge shop					
1306	DoomFire Warrior	Badge shop					
1307	Gravelyn's DoomFire	AC Shop					
1308	Mysterious Dungeon Rep	Normal Shop					
1309	Castle of Darkness House Shop	House Shop					
1310	Warlic's Enchantment Shop	Merge Shop					
1311	Yulgar's Dual Wield Shop	Merge Shop					
1312	Yulgar's Dual Wield Drop Off	Merge Shop					
1313	Pizza Hutch	House Shop					
1314	FEARS Shop	Rare Shop					
1315							
1316							
1317	NostalgiaQuest	Badge shop					
1318	Mazumi Shop	Staff Shop					
1319	Warlic Reversion	Merge Shop					
1320	Lord of Bones Tier 1	Badge shop					
1321	Lord of Bones Tier 2	Badge shop					
1322	Lord of Broken Bones 1	Merge Shop					
1323	Lord of Broken Bones 2	Merge Shop					
1324	Champion of Light	Badge shop					
1325	Lesser Bloodbeacon Polearm	Merge Shop					
1326	Featured November Gear	Rare Shop					
1327	Turkonian War Chest	Merge Shop					
1328	2017 Calander	Promo Shop					
1329	Northlands Ranger Tier 1	Badge shop					
1330	Northlands Ranger Tier 2	Badge shop					
1331	Wyldehunt Keep	House Shop					
1332	Wyldehunt Keep	House Shop					
1333	Darknight Stalker	Merge Shop					
1334	Darknight Stalker	Merge Shop					
1335	Shadow Stalker Key	AC Shop					
1336	Maya's Gifts	Merge Shop					
1337							
1338	Artist Showcase: Blade	Rare Shop					
1339	Northern Defence Rep	Reputation Shop					
1340							
1341	Glaceran War Merge	Merge Shop					
1342	Frostling Horror	Badge shop					
1343	BattleLord of Ravens	Badge shop					
1344	BattleLord of Ravens	Badge shop					
1345	NightElf SnowStalker	Badge shop					
1346	Snowmoglin House	Badge shop					
1347	Archive of Time Merge	Merge Shop					
1348	Featured January Gear	Rare Shop					
1349	ArchAngel Defender	Badge shop					
1350	ArchFiend Loyalist	Badge shop					
1351	LightCaster Class	AC Shop					
1352							
1353	Evolved LightCaster	AC Shop					
1354	Crownsreach Merge Shop	Merge Shop					
1355	Void Highlord Merge Shop	Merge Shop					
1356	Void Class Test	Preview Shop					
1357	Zorbak Hat	Promo Shop					
1358	Twilly Hat	Promo Shop					
1359	Swindle's Shop	AC Shop					
1360	Nulgath's Birthday	Rare Shop					
1361	Classic Paladin	Merge Shop			Category	Explain on Primairy Category	Explain on Secondary Category
1362	Blood Samurai Tier 1	Promo Shop			AC Shop	Shop containing Only AC items, permanently placed in game.	Besides its primary category this shop Only contains AC items.
1363	Blood Samurai Tier 2	Promo Shop			Badge shop	Shop that is unlocked in the Book of Lore at Achievement or Other Badges.	N/A (Badge shop label is always primairy)
1364	Dreadfire Milita Shop	Reputation Shop			Broken Shop	This shop is taken out game and can not be loaded anymore.	N/A (Broken label is always primairy)
1365	Dreadfire Rep	Reputation Shop			Enhancement Shop	Shop containing Enhancements, permanently placed in game on an NPC or game menu.	Besides its primary category this shop Only contains Enhancements
1366	Dreafire Gear	Reputation Shop			Guild Shop	This shop contains guild items	N/A (Guild label is always primary)
1367	Dreadfire Pet	Reputation Shop			House Shop	Shop containing Only house items, permanently placed in game.	Besides its primary category this shop Only contains House items
1368					Item Shop	Shop that is Only load-able or unlockable by owning/equipping a certain item.	Besides its primary category this shop is Only unlockable via an item.
1369					Member Shop	Shop containing Only Member items, permanently placed in game.	Besides its primary category this shop is Only containing member items.
1370					Merge Shop	This shop solely contains merge-items, and is permanently available in game.	Besides its primary category this shop Only contains merge items.
1371					No Shop	This shop ID is empty, don't keep trying.	N/A (No shop label is always primary)
1372					Normal Shop	This shop is still in-game and does contain both non-member and/or member and/or AC items.	N/A (Normal shop label is always primary)
1373					Preview Shop	This shop Only contains item previews might have gone rare over time.	N/A (Preview shop is always primary)
1374					Promo Shop	Shop that is unlocked in the Book of Lore at HeroMart Badges.	N/A (Promo shop is always primary)
1375					Rare Shop	This shop is/or will be rare and not in-game anymore but can still be accessed by staff.	N/A (Rare shop label is always primary,)
1376	Future Legion 50%	Merge Shop			Reputation Shop	This shop Only or mainly contains items that are buyable at owning certain reputation for a faction.	Besides its primary category this shop Only contains reputation bound items.
1377	Dage War 50%	Merge Shop			Seasonal Shop	This shop is Only in-game for a certain amount of time each year.	N/A (seasonal shop label is always primary)
1378	Future War Merge	Merge Shop			Staff Shop	This shop is Only for game staff.	N/A (Staff Shop label is always primary)
1379	Paragon Mk 3017	AC Shop			Additional Comments		
1380	Darkness	Enhancement Shop	"Requires ""Void Lodestone"""		LQS	This is or was a Limited Time shop.	
1381	Dark Loremaster's Shop	Merge Shop			No Buying!	Do not buy anything from this shop as it will break your character.	
1382	Mad Chemist's Shop	Normal Shop			AC/Member	This shop is containing Only both member and AC items	
1383	Crownsreach Milita	Reputation Shop			Merge House Shop	This shop is both Merge shop and a House Shop	
1384	Crownsreach Gear	Reputation Shop					
1385	Crown Critters	Reputation Shop					
1386	Chaos Alliance	Normal Shop					
1387							
1388							
1389	Nation Logo Shirt	Promo Shop					
1390	Future Legion Logo Shirt	Promo Shop					
1391	Undead Legion Logo Shop	Promo Shop					
1392	Nation Legion Shirt Combo	Promo Shop					
1393	/ / Shop	Rare Shop					
1394	RiftWalker Tier 1	Promo Shop					
1395	RiftWalker Tier 2	Promo Shop					
1396	Rift Rep Shop	Reputation Shop					
1397	Rift Pet Shop	Reputation Shop					
1398	Rift Gear	Reputation Shop					
1399	Rift Milita	Reputation Shop					
1400	Rift Potions and Rations	Reputation Shop					
1401	Barricade Defense	Merge Shop					
1402	Bubble Potion Shelf Shop	House Shop	Don't know the real name.				
1403	Loremaster Houses	House Shop					
1404	Lightstrike Commander	Promo Shop					
1405	Shadowforce Commander	Promo Shop					
1406	Void Merge	Merge Shop					
1407	Galactic Imperator	Badge shop					
1408	Void Guardian	Badge shop					
1409	Void Guardian	Badge shop					
1410	Amaranthine Void Gear	Badge shop					
1411	Pilgrim Gear Shop	Reputation Shop					
1412		House Shop	Don't know name.				
1413	Legendary Broodfiend	Badge shop					
1414	Arch Broodfiend	Badge shop					
1415	Blinding Light of Destiny	Badge shop					
1416	Wishing Shop	Normal Shop					
1417	Damiyo Fountain Shop	House Shop					
1418	Molten Mayhem	AC Shop					
1419	Classic DoomKnight	Normal Shop					
1420	Darkblood War Merge	Merge Shop					
1421	Quibble's Void Hunt	Merge Shop					
1422	Camp Shop	Merge Shop					
1423	Dragon Chest		Staff Only?				
1424	Ashfall Gear	AC Shop					
1425	Fecceus' House Shop	House Shop					
1426	Mystic Dragoncaller	Promo Shop					
1427	Mythic Dragoncaller	Promo Shop					
1428	Molten Forge	Merge Shop					
1429	Plague Gear	Merge Shop					
1430	Void DragonGuard	Promo Shop					
1431	Dark DragonGuard	Promo Shop					
1432							
1433	Elemental Summoner LQS	Badge shop					
1434	Dreadhound Rider LQS	Badge shop					
1435	Dreadhound Rider LQS	Badge shop					
1436	Elemental Gear LQS	Badge shop					
1437	Flame Dragon Warrior	Badge shop					
1438	Eclipse Shop	Normal Shop					
1439	Golden Raider	Promo Shop					
1440	Naval Reaper	Promo Shop					
1441	Shadow Dragon Chest	AC Shop	Requires 41140				
1442	Red Dragon Chest	AC Shop	Requires 41159				
1443	Orange Dragon Chest	AC Shop	Requires 41160				
1444	Gold Dragon Chest	AC Shop	Requires 41161				
1445	Green Dragon Chest	AC Shop	Requires 41162				
1446	Blue Dragon Chest	AC Shop	Requires 41163				
1447	Purple Dragon Chest	AC Shop	Requires 41164				
1448	Brown Dragon Chest	AC Shop	Requires 41165				
1449	Black Dragon Chest	AC Shop	Requires 41166				
1450	White Dragon Chest	AC Shop	Requires 41167				
1451	Pink Dragon Chest	AC Shop	Requires 41168				
1452	Crystal Dragon Chest	AC Shop	Requires 41169				
1453	Dragon King Chest	AC Shop	Requires 41170				
1454	Kaiju War Chest	AC Shop					
1455	Quibble's Dragon Shop	Rare Shop					
1456	Kaiju Naval Commander	AC Shop					
1457							
1458	Shadow Dragon House Chest	AC Shop					
1459	Red Dragon House Chest	AC Shop					
1460	Orange Dragon House Chest	AC Shop					
1461	Gold Dragon House Chest	AC Shop					
1462	Green Dragon House Chest	AC Shop					
1463	Blue Dragon House Chest	AC Shop					
1464	Purple Dragon House Chest	AC Shop					
1465	Brown Dragon House Chest	AC Shop					
1466	Black Dragon House Chest	AC Shop					
1467	White Dragon House Chest	AC Shop					
1468	Pink Dragon House Chest	AC Shop					
1469	Crystal Dragon House Chest	AC Shop					
1470	Crimson CryptLord	Promo Shop					
1471	Dark CryptLord	Promo Shop					
1472	9th Upholder	Badge shop					
1473	Celestial Challenger	Normal Shop					
1474	Celestial Champion	Normal Shop					
1475							
1476	Vampire Lord Class	AC Shop					
1477	Vampire Lord Merge	Merge Shop					
1478	Blood Moon Chest	AC Shop					
1479	Blood Moon Gear	AC Shop					
1480							
1481	0 AC Naval Commander	AC Shop					
1482	Vampire Logo Shirt	Promo Shop					
1483	Lycan Logo Shirt	Promo Shop					
1484	Cauldron Shirt 2017	Promo Shop					
1485	15th Anniversary Shirt						
1486	Pupkin Spice of Destiny	Normal Shop					
1487	Blood Moon Rares	Rare Shop					
1488	Blood Moon Lycan	Merge Shop					
1489	Blood Moon Vampire	Merge Shop					
1490	Golden Merge	Merge Shop					
1491	Shadowfall Fortress	Badge shop					
1492	Swordhaven Castle	Badge shop					
1493	Brightfall Fortress	Badge shop					
1494	November Upgrade Tier 1	Badge shop					
1495	November Upgrade Tier 2	Badge shop					
1496	Olantern's Shop	AC Shop					
1497	EbilCorp War Chest	Normal Shop					
1498	EbilCorp Reward Shop	Normal Shop					
1499	2018 Calander Shop	Promo Shop					
1500	December Upgrade Tier 1	Badge shop					
1501	December Upgrade Tier 2	Badge shop					
1502							
1503							
1504	Immortality Key	AC Shop					
1505	Frostval Chest	AC Shop					
1506	Frost Wolf LQS Gear	Badge shop	LQS				
1507	Frostlf Wolf House Items	House Shop	LQS				
1508	Northern Defender AC	Badge shop	LQS				
1509	Northern Defender Mem	Badge shop	LQS				
1510	Northern Warrior	Badge shop	LQS				
1511	Djinn Gate Merge	Merge Shop					
1512	Void Overlord Tier 1	AC Shop					
1513	Void Overlord Tier 2	AC Shop					
1514	February Upgrade Tier 1 	Must meet requirements					
1515	February Upgrade Tier 2 	Must meet requirements					
1516	March Upgrade Tier 1 	Must meet requirements					
1517	March Upgrade Tier 2 	Must meet requirements					
1518	April Upgrade Tier 1 	Must meet requirements					
1519	April Upgrade Tier 2 	Must meet requirements					
1520	Archfiend DragonKnight 	Must meet requirements					
1521	Archfiend DragonLord 	Must meet requirements					
1522	ShadowScythe Warrior 	Must meet requirements					
1523	Shadow DoomLord 	Must meet requirements					
1524	July Upgrade Tier 1 	Must meet requirements					
1525	July Upgrade Tier 2 	Must meet requirements					
1526	Charged Ninja 	Must meet requirements					
1527	Dark Shogun 	Must meet requirements					
1528	Infernal Naval Commander 	Must meet requirements					
1529	Infernal Pirate Captain 	Must meet requirements					
1530	Dark Guardian of Time 	Must meet requirements					
1531	Guardian of Time 	Must meet requirements					
1532	Apocalyptic DragonLord 	Must meet requirements					
1533	Apocalyptic DragonKing 	Must meet requirements					
1534	Golden Northlands Royalty Set 	Must meet requirements					
1535	Northlands Royalty II 	Must meet requirements					
1536	Greenguard Shop						
1537	Tower Guardian Gear 	Only in /tower					
1538	Pet Tamer Rep 	Only in /battleontown					
1539	Vinara's Odd Shop 	Only in /battleontown					
1540	Dage print 2018 	Must meet requirements					
1541	 - 						
1542	 - 						
1543	 - 						
1544	Nulgath Print 2018 	Must meet requirements					
1545	Nulgath Armor Shirt 	Must meet requirements					
1546	Sepulchure ShadowScythe Armor Shirt 	Must meet requirements					
1547	Soul Taker of Darkness 	Must meet requirements					
1548	2017 Honorable Hero 	Must meet requirements					
1549	Chateau Swaggy House 	Only in /chateau					
1550	Swaggy House Merge 	Only in /chateau					
1551	Beleen's Dye Shop 	Only in /chateau					
1552	Thistle's Potion Shop 	Only in /nibbleon					
1553	Comet's Treasures 	Only in /nibbleon					
1554	Noms & Such Foodibles 	Only in /nibbleon					
1555	Quokka Quokka Pets 	Only in /nibbleon					
1556	Tika’s Hut Shop 	Only in /nibbleon					
1557	Zifwin's Magic Shop 	Only in /nibbleon					
1558	Horc Merge Shop 	Only in /warhorc					
1559	Unlife Insurance Bond 	Only in /prison					
1560	Dark Knight Armor 	Only in /battleontown					
1561	 - 						
1562	Paragon Helm House Shop 	Must meet requirements					
1563	 - 						
1564	Dragons of Ashfall 	Must meet requirements					
1565	 - 						
1566	Legion OathKeeper T-Shirt 	Must meet requirements					
1567	Undersworn T-Shirt 	Must meet requirements					
1568	Legion Pledge Scroll 	Must meet requirements					
1569	Undersworn OathKeeper Combo 	Must meet requirements					
1570	Heroes of Lore T-Shirt 	Must meet requirements					
1571	Seraphic Order T-Shirt 	Must meet requirements					
1572	 - 						
1573	Seraphic War Chest 	Only in /seraphicwarlaken,seraphicwardage,seraphicwar					
1574	Seraphic War Rares						
1575	 - 						
1576	Sora's Free Shop 	Only in /oaklore					
1577	Undead War Merge 	Only in /warundead					
1578	Djinn Palace House Shop 	Must meet requirements					
1579	DerpBlade of Doom 	Must meet requirements					
1580	GonnaGetcha T-Shirt 	Must meet requirements					
1581	 - 						
1582	Celestial Spoils Merge 	Only in /djinnguard					
1583	Bido's Wanderer Shop 	Only in /djinnguard					
1584	Terrane's Merge Shop 	Only in /guardiantree					
1585	Dragonslayer LoreKeeper 	Only in /lair,underlair					
1586	Akriloth War Chest 	Only in /firewar					
1587	Fire War Merge 	Only in /firewar					
1588	StarGazer 	Must meet requirements					
1589	Black Market Tickets						
1590	LQS Fire AC 	Must meet requirements					
1591	LQS Ice AC 	Must meet requirements					
1592	LQS Fire Mem 	Must meet requirements					
1593	LQS Ice Mem 	Must meet requirements					
1594	LQS Fire Ice Weapons 	Must meet requirements					
1595	Cryonos Merge 	Only in /northmountain,charredplains					
1596	Fire and Ice Merge 	Only in /drakonnan					
1597	Hydra Merge 	Only in /mobius,hydrachallenge					
1598	Treasure Chest Preview						
1599	Valen Gear 	Only in /valleyofdoom,guardiantower,guardiantowerb,ebondungeon,ebonslate					
1600	Valen Merge 	Only in /valleyofdoom,guardiantower					
1601	Dragon of Light						
1602	Guardian of Energy						
1603	Sepulchure's Doomblade 	Only in /ebondungeon, guardiantowerb					
1604	Doom Sigil Merge 	Only in /ebondungeon,  guardiantowerb					
1605	 - 						
1606	Chaos Lord Poster 2.0						
1607	Yokai Loyalty						
1608	Kyo's Food and Drink 	Only in /heiwavalley					
1609	Garek's Seasonal Gear Shop						
1610	September Seasonal Shop						
1611	Items Required 	Only in /celestialrealm					
1612	LightMage Class 	Only in /celestialrealm					
1613	Items Required 	Only in /celestialrealm					
1614	Items Required 	Only in /celestialrealm					
1615	Pirate Collection 2018 	must own Pirate Collection Chest 2018					
1616	2018 Pirate Collection Chest						
1617	Nulgath's Navy Shirt						
1618	Stygian Legion Shirt						
1619	Evil Pirate Crew Combo						
1620	October Seasonal Shop						
1621	10th Upholder						
1622	 - 						
1623	Master of Moglins Class						
1624	Moglin Back-Kick						
1625	Moglin Twilly Plush						
1626	Moglin Zorbak Plush						
1627	Moglin Twig Plush						
1628	Moglin Memet Plush						
1629	Moglin Mort Plush						
1630	Moglin Quibble Plush						
1631	Moglin Scurvy Plush						
1632	Moglin Rez Plush						
1633	Moglin Nugget Plush						
1634	Moglin Scourge Plush						
1635	Moglin Cupcake Plush						
1636	Moglin Zilla Plush						
1637	10th Birthday Rares						
1638	ShadowScythe General Shop						
1639	ShadowScythe Honor Shop						
1640	Zorbak's Merge Shop						
1641	AQ3D Gear						
1642	 - 						
1643	 - 						
1644	ShadowScythe General Merge						
1645	November Seasonal Set						
1646	2019 Calendar						
1647	10 Years Played						
1648	9 Years Membership						
1649	600,000 AC						
1650	9th Upholder Merge 	Only in /dragonroad					
1651	10th Upholder Merge 	Only in /dragonroad					
1652	SpellSword Shop 	Only in /dragonrune					
1653	Sirbuh Shop 	Only in /museum					
1654	Vesper's Birthday Shop 	Previously Hollowborn Chest					
1655	Hollowborn Evoker Gear 	Must own Hollowborn Chest Pet					
1656	 - 						
1657	 - 						
1658	Lich King's Bounty 	Only in /frozenlair					
1659	December Seasonal Set						
1660	Northlands Royalty Bonus						
1661	Icestorm Arena Merge 	Only in /icestormarena					
1662	 - 						
1663	IceStorm Collection Chest						
1664	Nothing						
1665	2019 Calendar Collectors						
1666	Frostvale Barbarian						
1667	Festive ArchMage LQS						
1668	Holiday Paragon 2018						
1669	Shadow Infinity Knight						
1670	January Seasonal Shop						
1671	February Seasonal Shop						
1672	March Seasonal Shop						
1673	 - 						
1674	 - 						
1675	 - 						
1676	 - 						
1677	 - 						
1678	Copper Void ChronoKnight Set						
1679	January 2019 Tier 2						
1680	Crulon's Enchanter Gear						
1681	OS 1st Upholder						
1682	Frostval Helpers						
1683	Akiban Samurai Upgrade						
1684	BountyHunter Armor T-shirt						
1685	DragonSlayer Armor T-shirt						
1686	Combo BountyHunter/DragonSlayer Armor T-shirt						
1687	 - 						
1688	 - 						
1689	Relationship Goals Shop						
1690	Relationship Goals 	Receiver Shop					
1691	Wubbles Merge Shop 	Only in /wubbles, wubblevania					
1692	Wubbles (Vesper) House Shop	Only in /wubbles, wubblevania					
1693	Dark Hand Merge 	Only in /legionarena					
1694	 - 						
1695	Underworld Team Shop 	Only in /legionpvp					
1696	Underworld 1v1 Shop 	Only in /legionpvp					
1697	Dark Birthday Token Merge 	Only in /darkbirthday					
1698	Paragon Fiend Upgrade Bonus						
1699							
1700							
1701	Lucky Day Shop						
1702	ED Poster						
1703	Slayer vs Harbinger Print						
1704	Pride of the Exiles Print						
1705	Pride of the Legion Print						
1706	 -						
1707	 -						
1708	April Fools 2019 Rares						
1709	April Fools 2019 War Merge						
1710	Galactic Captain Upgrade Bonus						
1711	 -						
1712	 -						
1713	 -						
1714	 -						
1715	 -						
1716	Infinity Titan Upgrade Bonus						
1717	 -						
1718	BrightSlayer Gear						
1719	 -						
1720	 -						
1721	 -						
1722	8 -Bit Undead Slayer						
1723	Kibbles & 8 -Bits						
1724	8 -Bit Gold Member						
1725	 -						
1726	 -						
1727	NES Kickstarter Exclusive						
1728	 -						
1729	 -						
1730	Doom Dragon Upgrade						
1731	 -						
1732	 -						
1733	Infernal Invoker						
1734	 -						
1735	 -						
1736	 -						
1737	Yokai Summoner LQS						
1738	 -						
1739	Frostval in Yokai Rares						
1740	 -						
1741	ShadowFlame War Rares						
1742	 -						
1743	 -						
1744	Akuma Upgrade Shop						
1745	Event Merge Shop						
1746	Event Collection						
1747	VIP Event Collection						
1748	Music Fan Shop						
1749	Arena Coin Merge						
1750	 -						
1751	 -						
1752	Event Collection Preview						
1753	VIP Collection Preview						
1754	 -						
1755	Galactic Pirate Commander						
1756	Dage x Faith Wedding						
1757	Cursed Collection						
1758	2019 Pirate Collection Chest						
1759	TLaPD Reocurring Items						
1760	Golden Moglinmancer						
1761	 -						
1762	ShadowFlame DragonMage						
1763	Garek October						
1764	 -						
1765	 -						
1766	 -						
1767	 -						
1768	 -						
1769	 -						
1770	 -						
1771	 -						
1772	 -						
1773	 -						
1774	 -						
1775	11th Upholder						
1776	 -						
1777	 -						
1778	 -						
1779	11th Anniversary Collection Chest						
1780	 -						
1781	 -						
1782	Alice in Chains VIP Collection						
1783	Alice in Chains Special Event Collection						
1784	Apocalyptic Werepyre						
1785	Achievement Tracker 750.000 Acs						
1786	10 Years Membership						
1787	11 Years Played						
1788	 -						
1789	 -						
1790	 -						
1791	Artist Showcase: Kotaro						
1792	Artist Showcase: PP2						
1793	Artist Showcase: Lae						
1794	Artist Showcase: Hikari						
1795	Artist Showcase: Ferozakh						
1796	2020 Calendar Shop						
1797	2020 Collector's Calendar						
1798	Story Moglin Collection						
1799	Epic Moglin Collection						
1800	 -						
1801	Black Friday 2019 Rares 						
1802	- 						
1803	- 						
1804	- 						
1805	Technocaster Merge 						
1806	- 						
1807	- 						
1808	GlacialFrost Elf Upgrade Bonus 						
1809	Frostval the 13th Collection 						
1810	Frostval the 13th Collection Chest, ArchFiend's Collection Chest 						
1811	Frost Dracolich Rider LQS						
1812	Winter Dracolich House LQS 						
1813	Golden Royal Knight LQS 						
1814	Epic Frost Weapon Pack LQS 						
1815	- 						
1816	- 						
1817	ArchFiend's 2020 Birthday Collection 						
1818	Vampiric Knight Upgrade Bonus 						
1819	Crag's Gem Merge 						
1820	Archfiend Warlord Merge 						
1821	Cubic Zirconia of Noogalth 						
1822	Fiends of Apocalypse Print 						
1823	Underworld Followers Print 						
1824	Followers and Fiends Print Combo 						
1825	Darkon's Underworld Complete 						
1826	Elemental Treasure Chest 						
1827	Crulon's Artist Alley Shop 						
1828	Arlette's Artist Alley Shop 						
1829	Arlette's Artist Alley House Shop 						
1830	- 						
1831	Darkon's Merge 						
1832	Mythsong War Merge 						
1833	Beleen Gift's 						
1834	Duality Battlemage Upgrade 						
1835	- 						
1836	- 						
1837	Breaking Benjamin Rares 						
1838	Breaking Benjamin Class Merge 						
1839	Hero's Haute Couture 						
1840	Abyssal Heretic 						
1841	Abyssal Merge 						
1842	SoulEater's 2020 Collection 						
1843	SoulEater's Collection Chest 						
1844	Dage 50 % 						
1845	Shrade 50% 						
1846	Dark Carnival Sales 						
1847	Dark Carnival Merge 						
1848	Bear Necessities 						
1849	Ubear Merge 						
1850	Voidborn of Nulgath 						
1851	Shop Name : Ubear Token 						
1852	LIMFT Token 						
